Location,2001-population,2011-population,Percentage Change
Sheopur,559495,687861,22.943189840838613
Morena,1592714,1965970,23.4352181245346
Bhind,1428559,1703005,19.21138713906811
Gwalior,1632109,2032036,24.50369429982924
Datia,664159,786754,18.458682333597828
Shivpuri,1406031,1726050,22.760451227604513
Tikamgarh,1202998,1445166,20.1303742815865
Chhatarpur,1474723,1762375,19.505493574047463
Panna,856558,1016520,18.674975891883562
Sagar,2021987,2378458,17.629737481002596
Damoh,1083949,1264219,16.630856248771853
Satna,1870104,2228935,19.187756402852465
Rewa,1973306,2365106,19.85500474837658
Umaria,515963,644758,24.962061233072912
Neemuch,726070,826067,13.772363546214553
Mandsaur,1183724,1340411,13.236784926215908
Ratlam,1215393,1455069,19.720041171867862
Ujjain,1710982,1986864,16.124190669451814
Shajapur,1290685,1512681,17.199858989606295
Dewas,1308223,1563715,19.52969791847414
Dhar,1740329,2185793,25.596539504886717
Indore,2465827,3276697,32.884302102296715
Khargone (West Nimar),1524637,1873046,22.851931312174635
Barwani,1086366,1385881,27.570358424324766
Rajgarh,1254085,1545814,23.2622988074971
Vidisha,1214857,1458875,20.08615005716722
Bhopal,1843510,2371061,28.616660609381018
Sehore,1078912,1311332,21.54207201328746
Raisen,1125154,1331597,18.34797725466914
Betul,1395175,1575362,12.91501066174494
Harda,474416,570465,20.245733702067383
Hoshangabad,1084265,1241350,14.487694428944952
Katni,1064167,1292042,21.413462360700905
Jabalpur,2151203,2463289,14.507510448804691
Narshimhapur,957646,1091854,14.014364389346376
Dindori,580730,704524,21.316963132608958
Mandla,894236,1054905,17.96718092315675
Chhindwara,1849283,2090922,13.066631770259068
Seoni,1166608,1379131,18.217173206424096
Balaghat,1497968,1701698,13.60042404110101
Guna,977827,1241519,26.967142449533505
Ashoknagar,688940,845071,22.66249600836067
Shahdol,908148,1066063,17.388685544646908
Anuppur,667155,749237,12.303287841655987
Sidhi,910983,1127033,23.716139598653324
Singrauli,920169,1178273,28.049630013617065
Jhabua,784286,1025048,30.69824018279046
Alirajpur,610275,728999,19.454180492400965
Khandwa (East Nimar),1078251,1310061,21.49870484701614
Burhanpur,634883,757847,19.367978036898137
